"year","datetime_","nest","sex","bird_ID","type","distm"
2012,2012-06-13 18:18:00,"s201","m","229194749","est",7
2012,2012-06-12 12:53:00,"s201","m","229194749","est",3
2012,2012-06-14 12:43:00,"s902","f","229194736","est",8
2012,2012-06-14 12:26:00,"s705","m","225118856","est",4
2012,2012-06-14 15:10:00,"s201","m","229194749","est",1
2012,2012-06-14 14:24:00,"s402","m","255174788","est",2
2012,2012-06-14 17:20:00,"s707","f","255174756","est",5
2012,2012-06-14 19:54:00,"s808","f","255174541","est",8
2012,2012-06-15 10:08:00,"s201","m","229194749","est",10
2012,2012-06-15 19:09:00,"s705","f","255174535","est",12
2012,2012-06-16 10:37:00,"s809","f","229194791","est",4
2012,2012-06-16 12:05:00,"s809","m","255174703","est",4
2012,2012-06-15 23:10:00,"s704","m","255174463","est",2
2012,2012-06-16 15:05:00,"s811","m","255174751","est",15
2012,2012-06-16 11:23:00,"s502","f","255174778","est",5
2012,2012-06-17 14:50:00,"s201","f","255174750","est",2
2012,2012-06-17 17:17:00,"s812","f","255174747","est",2
2012,2012-06-17 15:20:00,"s705","f","255174535","est",3
2012,2012-06-17 16:52:00,"s201","f","255174750","est",14
2012,2012-06-18 13:45:00,"s1002","m","255174414","est",0
2012,2012-06-18 12:15:00,"s708","m","229194777","est",15
2012,2012-06-18 13:18:00,"s708","m","229194777","est",15
2012,2012-06-18 13:44:00,"s708","m","229194777","est",15
2012,2012-06-19 09:47:00,"s409","m","229194729","est",7
2012,2012-06-19 10:03:00,"s403","m","229194734","est",10
2012,2012-06-19 10:06:00,"s403","m","229194734","est",2
2012,2012-06-19 11:08:00,"s508","m","257188598","est",6
2012,2012-06-20 10:46:00,"s510","m","255174706","est",7
2012,2012-06-20 15:08:00,"s704","m","255174463","est",10
2012,2012-06-20 15:33:00,"s510","f","s510-f","est",15
2012,2012-06-20 12:50:00,"s706","f","255174760","est",44
2012,2012-06-21 13:47:00,"s303","m","229194746","est",7
2012,2012-06-23 15:10:00,"s704","m","255174463","est",30
2012,2012-06-23 18:23:00,"s508","m","257188598","est",25
2012,2012-06-24 10:35:00,"s303","m","229194746","est",25
2012,2012-06-24 10:57:00,"s304","f","255174728","est",40
2012,2012-06-23 18:33:00,"s811","m","255174751","est",14
2012,2012-06-24 12:49:00,"s514","m","255174305","est",5
2012,2012-06-24 11:36:00,"s1003","m","255174744","est",11
2012,2012-06-25 08:19:00,"s413","m","255174780","est",90
2012,2012-06-25 09:16:00,"s704","f","255174790","est",15
2012,2012-06-25 10:04:00,"s514","m","255174305","est",20
2012,2012-06-25 10:13:00,"s509","m","255174740","est",5
2012,2012-06-25 11:27:00,"s707","m","255174434","est",1
2012,2012-06-25 10:30:00,"s609","m","229194761","est",10
2012,2012-06-25 19:39:00,"s304","m","255174724","est",2
2012,2012-06-26 08:30:00,"s304","f","255174728","est",50
2012,2012-06-26 18:04:00,"s1003","m","255174744","est",12
2012,2012-06-26 19:59:00,"s514","f","255174719","est",10
2012,2012-06-26 18:49:00,"s413","f","255174721","est",25
2012,2012-06-27 17:57:00,"s809","f","229194791","est",2
2012,2012-06-27 18:06:00,"s511","m","255174738","est",3
2012,2012-06-27 19:28:00,"s110","m","255174309","est",7
2012,2012-06-27 19:59:00,"s313","f","257188502","est",5
2012,2012-06-27 22:44:00,"s310","f","255174536","est",11
2012,2012-06-28 11:03:00,"s313","m","255174563","est",20
2012,2012-06-28 10:23:00,"s511","m","255174738","est",30
2012,2012-06-28 13:36:00,"s707","m","255174434","est",6
2012,2012-06-28 13:11:00,"s310","m","255174763","est",30
2012,2012-06-29 10:36:00,"s810","m","229194790","est",20
2012,2012-06-30 11:37:00,"s810","m","229194790","est",20
2012,2012-06-29 21:24:00,"s1003","m","255174744","est",9
2012,2012-06-30 20:59:00,"s313","m","255174563","est",10
2012,2012-06-30 21:16:00,"s322","f","257188496","est",7
2012,2012-07-01 16:33:00,"s110","m","255174309","est",30
2012,2012-07-01 15:16:00,"s809","f","229194791","est",15
2012,2012-07-02 12:29:00,"s110","f","255174545","est",15
2012,2012-07-03 09:10:00,"s409","f","255174737","est",5
2012,2012-07-03 09:04:00,"s804","m","255174796","est",25
2012,2012-07-03 10:39:00,"s1003","m","255174744","est",10
2012,2012-07-04 14:44:00,"s405","f","255174765","est",50
2012,2012-07-04 08:10:00,"s422","f","257188416","est",4
2012,2012-07-05 08:20:00,"s809","f","229194791","est",11
2012,2012-07-06 08:21:00,"s511","f","257188584","est",30
2012,2012-07-07 19:23:00,"s705","f","255174535","est",10
2012,2012-07-08 14:21:00,"s511","m","255174738","est",2
2012,2012-07-08 17:39:00,"s413","m","255174780","est",10
2012,2012-07-09 08:44:00,"s511","f","257188584","est",10
2012,2012-07-09 10:42:00,"s810","f","229194784","est",25
2012,2012-07-15 09:53:00,"s718","f","257188474","est",0
2011,2011-06-09 10:20:00,"s504","m","229194734","est",15
2011,2011-06-09 12:55:00,"s504","f","229194752","est",25
2011,2011-06-09 14:05:00,"s505","m","229194737","est",35
