"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"lv","2013-07-01 01:50:00","2013-07-01 02:15:00","w802","y","7","173",\N,"fo","ca","2","0","w","0","215","noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"855"
"lv","2013-07-01 02:33:00","2013-07-01 03:16:00","w509","n",\N,\N,\N,\N,"ca","4","0","w","0","216",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"856"
"lv","2013-07-01 02:33:00","2013-07-01 03:16:00","w509","n",\N,\N,\N,\N,"ca,l","4","0","w","0","217",\N,\N,\N,\N,"on","37","on","309057",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"858"
"lv","2013-06-30 22:48:00","2013-06-30 22:50:00","s627","n",\N,\N,\N,\N,"l","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,"off","306853",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"859"
"lv","2013-06-30 22:48:00","2013-06-30 22:50:00","s627","n",\N,\N,\N,\N,"l","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,"on","309065",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"860"
"lv","2013-06-30 23:14:00","2013-06-30 23:14:05","b402","n",\N,\N,\N,\N,"c","4","0","d?","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"eggs still turned","861"
"fh,mb","2013-07-01 08:38:00","2013-07-01 08:39:00","s608","n",\N,\N,\N,\N,"hc","3","0","1b,2m","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"862"
"lv","2013-06-30 23:30:00","2013-06-30 23:42:00","s704","y",\N,\N,"10","fo","l",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","1",\N,\N,"on","reading very 3 sec, channel 17 and 14. to do make WP from place antenna","863"
"fh,mb","2013-07-01 08:40:00","2013-07-01 08:43:00","s609","y",\N,\N,"8","fo,ro","ch,hc","2","1","2m, 1hd",\N,\N,"x-w,dg/gf,gr?","7",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1 parent around","864"
"lv","2013-06-30 23:50:00","2013-07-01 00:01:00","s703","n",\N,\N,\N,\N,"l","2","2","2w,2hd","0",\N,\N,\N,\N,\N,"off","26","off","306852",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"865"
"fh,mb","2013-07-01 08:45:00","2013-07-01 08:46:00","s527","y",\N,\N,\N,\N,"c","4","0","w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"866"
"lv","2013-07-01 00:16:00","2013-07-01 00:18:00","s702","y","6","193",\N,"fo","l","0","3","3hd","0",\N,\N,\N,\N,\N,"off","51","off","309058",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"both parents around","867"
"fh,mb","2013-07-01 09:49:00","2013-07-01 09:50:00","s510","n",\N,\N,\N,\N,"hc","4","0","c",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"868"
"fh,mb","2013-07-01 10:07:00","2013-07-01 10:08:00","s526","n",\N,\N,\N,\N,"hc","3","0","w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"869"
"fh,mb","2013-07-01 10:16:00","2013-07-01 10:20:00","l501","y",\N,\N,\N,\N,"l,c","4","0","w","0",\N,\N,\N,\N,\N,"download","53",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"870"
"lv","2013-07-01 00:30:00","2013-07-01 00:40:00","s409","n",\N,\N,\N,\N,"l","4","0","w","0",\N,\N,\N,\N,\N,"download","20",\N,\N,\N,\N,\N,"newBat24","1",\N,\N,\N,\N,\N,\N,\N,"1 egg was turned","871"
"lv","2013-07-01 00:30:00","2013-07-01 00:40:00","s409","n",\N,\N,\N,\N,"l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"1 egg was turned","872"
"fh,mb","2013-07-01 10:22:00","2013-07-01 10:34:00","l804","y",\N,\N,"1","fo, ro","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"873"
"fh,mb","2013-07-01 10:36:00","2013-07-01 10:37:00","w509","n",\N,\N,\N,\N,"c","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"874"
"fh,mb","2013-07-01 10:42:00","2013-07-01 11:26:00","l801","y",\N,\N,"1","fo, ro","ca","4","0","w","0","235","","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"875"
"fh,mb","2013-07-01 10:42:00","2013-07-01 10:42:10","a602","y",\N,\N,\N,"fo","c",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"scared bird off during capture of l801 (id 235)","876"
"fh","2013-07-01 13:30:00","2013-07-01 13:32:00","s814","y",\N,\N,\N,"wo","f,e","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"877"
"mb.ms.lv","2013-06-29 21:00:00","2013-06-29 21:18:00","s603","n",\N,\N,\N,\N,"l,ch","1","3","1f,3hd","0",\N,\N,\N,\N,\N,"off","10","off","306850",\N,\N,\N,\N,\N,\N,\N,\N,\N,"switched off","21",\N,"both parents were around","878"
"mb","2013-07-01 14:55:00","2013-07-01 14:56:00","d508","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"879"
"fh,mb","2013-07-01 13:49:00","2013-07-01 14:30:00","s409","y","5","234",\N,"fo","ca","4","0","w","0","237",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"flew through cage without touching it.captivity-catch. partner was absent, altthough another male (noba) was around and courting the female.","880"
