"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"ar","2013-06-05 10:06:00","2013-06-05 10:12:00","s601","y",\N,\N,"10","wo,a","f,e","4","0","w","0",\N,"noba","5","noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"noba tries to copulate with bird1 while it is off nest, but not sure if it is the partner. bird back on nest within 1 min.","1"
"ar,mb","2013-06-06 13:45:00","2013-06-06 14:01:00","b501","y",\N,\N,"15","ro","f,e,l","4","0","w",\N,\N,"?-w,r,dg/?-gf,gr","7",\N,\N,"on","67","on","309043",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"first basa joooooooo!!!!!!!!","2"
"mb","2013-06-06 10:34:00","2013-06-06 10:51:00","d501","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,"noba","7",\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"3"
"mb","2013-06-06 11:08:00","2013-06-06 11:22:00","s501","y",\N,\N,"6","fo","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"4"
"mb","2013-06-06 11:56:00","2013-06-06 12:02:00","d501","y","5","25",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","999",\N,\N,\N,\N,\N,\N,\N,\N,"5"
"mb","2013-06-06 12:54:00","2013-06-06 12:55:00","d501","y","5","27",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,\N,"6"
"mb,lv","2013-06-07 08:21:00","2013-06-07 09:18:00","s601","y","5","31",\N,"fo","ca,l","4","0","w","0","35",\N,\N,\N,\N,"on","57","on","309051",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"exchange: partner flew in 10m from nest, walks into nest, incubating bird wo + fo, within 10s partner sits, no vocalization","7"
"mb,ms","2013-06-06 20:20:00","2013-06-06 20:23:00","s601","y","5","31",\N,"fo","c",\N,\N,\N,\N,\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"8"
"mb,lv","2013-06-08 12:06:00","2013-06-08 12:09:00","d501","y","4","28",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"9"
"mb,lv","2013-06-08 12:20:00","2013-06-08 13:04:00","d501","y","4","29",\N,"fo","ca,l","4","0","w","0","54","noba","15",\N,\N,"on","9","on","309052",\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,\N,"10"
"lv","2013-06-08 14:20:00","2013-06-08 14:22:00","d501","y","4","30",\N,"fo","c",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"winding the fishing line; to do bring martin's box with wires, liesbeth left it there or lost it from her pocket","11"
"mb,lv","2013-06-08 14:51:00","2013-06-08 15:32:00","s501","y","4","31",\N,"fo","ca,l","4","0","w","0","58",\N,\N,\N,\N,"on","55","on","309046",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"12"
"mb.lv","2013-06-08 16:16:00","2013-06-08 16:19:00","s502","y",\N,\N,"1","fo","f","2","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"13"
"mb,lv","2013-06-08 16:19:00","2013-06-08 16:59:00","d601","y",\N,\N,\N,\N,"ca,l","4","0","w","0","59","noba",\N,\N,\N,"on","1","on","309044",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"14"
"mb,ms","2013-06-08 10:35:00","2013-06-08 11:13:00","b501",\N,\N,\N,\N,\N,"ca","4","0","w","0","50",\N,\N,\N,\N,"download","67",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"15"
"fh,ar","2013-06-08 15:01:00","2013-06-08 15:16:00","d601","y",\N,\N,"10","wo,a","f,e","4","0","w","0",\N,"noba","15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"16"
"mb","2013-06-09 13:23:00","2013-06-09 13:27:00","d502","y",\N,\N,"20","fo","f","2","0","w","0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"one bird has a metal ring","17"
"mb,fh","2013-06-09 09:33:00","2013-06-09 09:37:00","b401","y","8","62",\N,"fo","l","4","0","w","0",\N,"noba","3",\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"18"
"mb,fh","2013-06-09 09:51:00","2013-06-09 09:52:00","s501","y",\N,\N,"7","fo","c","4","0","w","0",\N,"x-lb,gf,gr/m-dg,o,dg","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"19"
"mb,fh","2013-06-09 10:35:00","2013-06-09 10:40:00","d501","n",\N,\N,\N,\N,"c","0","0","p",\N,\N,\N,\N,\N,\N,"off","9","off","309052",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"20"
"mb,fh","2013-06-09 10:49:00","2013-06-09 11:37:00","s503","y",\N,\N,"6","wo","ca,f,e,l","4","0","w","0","53","noba",\N,\N,\N,"on","38","on","308649",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"wet lining","21"
"ar,ms,lv","2013-06-09 09:42:00","2013-06-09 09:50:00","d602","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"bird along the lines of o,o,w","22"
"mb,fh","2013-06-09 12:05:00","2013-06-09 12:12:00","d801","y",\N,\N,"10","fo","f,e","4","0","w","0",\N,"noba","4",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"23"
"mb,fh","2013-06-09 12:33:00","2013-06-09 13:10:00","b401","y","8","64","10","fo","ca","4","0","w","0","52","noba","3",\N,\N,"on","54","on","306872",\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,\N,"24"
"ar,ms","2013-06-09 12:54:00","2013-06-09 13:01:00","s602","y",\N,\N,"5","ro","f,e","4","0","w","0",\N,"noba","5",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"25"
"mb,fh","2013-06-09 13:45:00","2013-06-09 13:48:00","d601","y","4","39","10","fo","c",\N,\N,\N,"0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"26"
"mb,fh","2013-06-09 13:47:00","2013-06-09 13:48:00","s502","n",\N,\N,\N,\N,"c","3","0",\N,"0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","1",\N,\N,\N,\N,\N,\N,\N,\N,"27"
"mb","2013-06-09 17:02:00","2013-06-09 17:04:00","d503","y",\N,\N,"20","fo","f","2","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"to do correct nest ID on popsicle sticks from d504 to d503","28"
"mb,fh","2013-06-09 18:03:00","2013-06-09 18:05:00","s601","n",\N,\N,\N,\N,"c","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"eggs turned","29"
"fh","2013-06-09 18:13:00","2013-06-09 18:16:00","s801","y",\N,\N,"3","fo","f","2","0","w","0",\N,"x-gf,gr/m-db,w,o","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"30"
"ar,ms,lv","2013-06-09 15:05:00","2013-06-09 15:20:00","d402","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,"x-y,w,o/x-gf.gr",\N,\N,\N,"on","11","on","308846",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"color ring combination sure, side (left or right) not sure","31"
"ar,ms","2013-06-09 17:13:00","2013-06-09 17:21:00","s701","y",\N,\N,\N,"fo,A","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"32"
"ms,lv,ar","2013-06-09 09:21:30","2013-06-09 09:39:00","b401","y",\N,\N,"20","fo","f,e","4","0","w","0",\N,"noba","7",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"33"
"fh,ar","2013-06-09 21:15:00","2013-06-09 21:20:00","s801","n",\N,\N,\N,\N,"l","2","0","c","0",\N,\N,\N,\N,\N,"on","65","on","309027",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"34"
"lv,ms,ar","2013-06-09 11:32:00","2013-06-09 11:40:00","d401","y",\N,\N,"20","wo","f,e","4","0","w","0",\N,"noba","12",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"35"
"mb,fh","2013-06-10 07:55:00","2013-06-10 08:35:00","b501","y","5","45",\N,"fo","ca","4","0","w",\N,"51","noba","5",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"36"
"mb,fh","2013-06-10 09:57:00","2013-06-10 10:26:00","s701","n",\N,\N,\N,\N,"ca","4","0","w","0","60",\N,\N,\N,\N,"on","69","on","306873",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"37"
"ms,ar","2013-06-10 16:00:00","2013-06-10 16:08:00","d702","y",\N,\N,"2","ro","f,l","3","0","w","0",\N,"?-gf,gr/?-dg,o,y",\N,\N,\N,"on","36","on","306843",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"38"
"ar,lv,ms","2013-06-10 09:27:00","2013-06-10 09:34:00","d603","y",\N,\N,"15","fo","f,e","4","0","w","0",\N,"noba","6",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"39"
"mb,fh","2013-06-10 10:41:00","2013-06-10 10:49:00","d504","y","5","46",\N,"fo","f,e","4","0","w","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1 egg was cracked (probably stepped upon) - taken ","40"
"mb,fh","2013-06-10 11:08:00","2013-06-10 11:10:00","s602","n",\N,\N,\N,\N,"c","0","0","p",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"41"
"ms,lv,ar","2013-06-10 10:24:00","2013-06-10 10:25:00","s603","y",\N,\N,\N,"fo,a","f","3","0","w","0",\N,"noba","4",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"42"
"mb,fh","2013-06-10 11:21:00","2013-06-10 11:55:00","d401","y","5","47",\N,"fo","ca,l","4","0","w","0","61","noba",\N,\N,\N,"on","62","on","306855",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"43"
"lv,ar,ms","2013-06-10 11:27:00","2013-06-10 11:33:00","s604","y",\N,\N,\N,"fo","f,l","3","0","w","0",\N,"?-r,db,o/?-?",\N,\N,\N,"on","30","on","309050",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"44"
"lv,ms,ar","2013-06-10 12:39:00","2013-06-10 12:42:00","s605","y",\N,\N,"17","fo","f","1","0","w","0",\N,"noba",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"45"
"mb,fh","2013-06-10 12:07:00","2013-06-10 12:37:00","d602","y","5","48",\N,"fo","ca,l","4","0","w","0","62","noba",\N,\N,\N,"on","13","on","309075",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"46"
"ar,ms","2013-06-10 14:32:00","2013-06-10 14:39:00","d701","y",\N,\N,"20","fo","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"47"
"mb,fh","2013-06-10 12:45:00","2013-06-10 12:52:00","d402","y","5","49",\N,"fo","l,c","4","0","w","0",\N,"m-y,w,o/x-gf,gr","5",\N,\N,"download","11",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"48"
"mb,fh","2013-06-10 13:10:00","2013-06-10 13:52:00","d504","y","5","51",\N,"fo","ca,l","3","0","w","0","63","noba",\N,\N,\N,"on","21","on","306852",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"49"
"ar,ms","2013-06-10 15:10:00","2013-06-10 15:12:00","d604","y",\N,\N,"30","fo","f","3","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"50"
"mb,fh","2013-06-10 14:21:00","2013-06-10 14:21:00","d502","n",\N,\N,\N,\N,"c","3","0","w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"51"
"mb,fh","2013-06-10 14:26:00","2013-06-10 14:56:00","d801","y","5","52",\N,"fo","ca","4","0","w","0","64","noba","10",\N,\N,"on","23","on","309064",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"52"
"mb,fh","2013-06-10 14:59:00","2013-06-10 15:03:00","s501","n",\N,\N,\N,\N,"l,c","0","0","p","0",\N,\N,\N,\N,\N,"off","55","off","309046",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"53"
"mb,fh","2013-06-10 15:11:00","2013-06-10 15:40:00","s503","y",\N,\N,"2","fo,ro","ca","4","0","w","0","65","noba","7",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"msr probe was burried ","54"
"mb,fh","2013-06-10 15:49:00","2013-06-10 16:32:00","s802","y",\N,\N,"6","fo","ca,f,e,l","4","0","w","0","66","noba","1",\N,\N,"on","25","on","309038",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"55"
"fh","2013-06-10 16:42:00","2013-06-10 16:43:00","d503","y","8","73",\N,"fo","c","3","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"corrected nest number on the popsicle","56"
"lv,ms","2013-06-11 07:40:00","2013-06-11 08:40:00","d603","n",\N,\N,\N,\N,"ca,l","4","0","w","0","40","noba",\N,\N,\N,"on","63","on","306854",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"57"
"lv,ms","2013-06-11 08:59:00","2013-06-11 09:40:00","d503","y","7","36",\N,"fo","ca,l","4","0","w","0","41","noba",\N,\N,\N,"on","61","on","309030",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"58"
"lv,ms","2013-06-11 10:02:00","2013-06-11 10:40:00","d604","y","7","38",\N,"fo","ca,l","4","0","w","0","42","noba",\N,\N,\N,"on","70","on","309041",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"59"
"lv,ms","2013-06-11 11:14:00","2013-06-11 11:23:00","d403","y",\N,\N,\N,"fo","f,e","4","0","w","0",\N,"noba","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"60"
"ar","2013-06-11 07:40:00","2013-06-11 07:47:00","d605","y",\N,\N,"20","fo","f,e","4","0","w","0",\N,"noba","6",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"61"
"ar","2013-06-11 08:50:00","2013-06-11 08:54:00","s606","y",\N,\N,"8","fo,a","f","3","0","w","0",\N,"noba","2",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"62"
"ar","2013-06-11 09:06:00","2013-06-11 09:14:00","d606","y",\N,\N,"15","fo","f,e","4","0","w","0",\N,"noba","12",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"63"
"ar","2013-06-11 10:18:00","2013-06-11 10:33:00","d607","y",\N,\N,"8","fo","f,e,l","4","0","w","0",\N,"?-r,w,o/?-gf,gr","5",\N,\N,"on","52","on","306857",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"64"
"ar","2013-06-11 10:44:00",\N,"s607","y",\N,\N,"12","fo","f,l","3","0","w","0",\N,"?-lb,gf,gr/dg,o,db","3",\N,\N,"on","32","on","306850",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"65"
"mb,fh","2013-06-11 07:27:00","2013-06-11 07:36:00","d505","y",\N,\N,"6","fo","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"66"
"mb,fh","2013-06-11 07:47:00","2013-06-11 07:56:00","s802","y",\N,\N,"15","fo","l,c","4","0","w","0",\N,"x-lb,gf,gr/m-dg,r,w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","1m 7:58:14, on 08:01:11, pictures of the cage on cam 5","67"
"mb,fh","2013-06-11 08:14:00","2013-06-11 09:01:00","s502","y",\N,\N,"0","ro","ca,l","4","0","w","0","67","noba",\N,\N,\N,"on","58","on","309032",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"68"
"mb,fh","2013-06-11 09:02:00","2013-06-11 09:07:00","d601","y",\N,\N,"7","fo","l,c","4","0","w","0",\N,"rc","6",\N,\N,"download","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"69"
"mb,fh","2013-06-11 09:11:00","2013-06-11 09:19:00","s503","y","5","57",\N,"fo","l,c","4","0","w","0",\N,"x-lb,gf,gr/m-dg,o,w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","1m 09:21:24, on 09:27:26","70"
"mb,fh","2013-06-11 10:14:00","2013-06-11 10:46:00","d505","y",\N,\N,"0","ro","ca,l","4","0","w","0","68",\N,\N,\N,\N,"on","28","on","309048",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"71"
"mb,fh","2013-06-11 12:12:00","2013-06-11 12:47:00","s803","y",\N,\N,"7","fo","ca,f,e,l","4","0","w","0","69","noba","1",\N,\N,"on","31","on","309063",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"72"
"mb, fh","2013-06-11 15:16:00","2013-06-11 16:02:00","s504","y",\N,\N,"7","fo","ca,f,e,l","4","0","w","0","70","noba","1",\N,\N,"on","47","on","306074",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"73"
"mb,fh","2013-06-11 20:49:00","2013-06-11 20:50:00","s701","n",\N,\N,\N,\N,"l,c","0","0","p",\N,\N,\N,\N,\N,\N,"off","69","off","306873",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"74"
"mb,fh","2013-06-11 21:01:00","2013-06-11 21:04:00","d504","n",\N,\N,\N,\N,"l","0","0","p","0",\N,\N,\N,\N,\N,"off","21","off","306852",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"75"
"mb,fh","2013-06-11 21:05:00","2013-06-11 21:07:00","s604","y",\N,\N,"3","fo,a","c","4","0","w","0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"76"
"mb,ar","2013-06-12 06:53:00","2013-06-12 07:00:00","s504","y","5","68",\N,"fo","l","4","0","w","0",\N,"x-lb,gf,gr/m-w,dg,w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","corting female with r,r on both tarsuses; the female came 1m 7:02:00, on 07:02:05, martin forgot transponder in the nest, female exchanged the radio male and incubated it","77"
"mb","2013-06-12 08:15:00","2013-06-12 08:17:00","s801","y",\N,\N,\N,\N,"c","4","0","w",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"78"
"mb","2013-06-12 08:35:00","2013-06-12 08:37:00","s603","y",\N,\N,"20","fo","c","3","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"79"
"mb","2013-06-12 09:59:00","2013-06-12 10:00:00","d402","y","5","72",\N,"fo","c","4","0","w","0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"80"
"mb,fb","2013-06-12 10:03:00","2013-06-12 10:12:00","d702","y",\N,\N,"1","ro,a","e,c","4","0","w","0",\N,"m-gf,gr/x-dg,o,y","10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"81"
"mb,fh","2013-06-12 13:17:00","2013-06-12 13:55:00","d505","y","5","80","25","fo,a","ca","4","0","w","0","76",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"82"
"mb,ar","2013-06-12 07:06:00","2013-06-12 07:30:00","s504","y",\N,\N,"9","wo","ca","4","0","w","0","71","x-r/m-r",\N,"?-w,dg,w-?",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","reringed","83"
"mb,ar","2013-06-12 07:37:00","2013-06-12 07:45:00","s505","y",\N,\N,"8","fo","f,e","4","0","w","0",\N,"x-gf,gr/m-o,w","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"this must be w,o,w.","84"
"mb,fh","2013-06-12 14:04:00","2013-06-12 14:06:00","s803","y",\N,\N,"0","fo,wo,ro","c","4","0","w","0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"test of whether bird can fly through the cage: barked at the bird from behin the pingo, stayed sitting at the nest motionless, after staring at each other for 5s, bird decide to leasurly fly off throught the wires","85"
"mb,fh","2013-06-12 14:37:00","2013-06-12 14:48:00","s801","y",\N,\N,"15","fo,ro","e,l,c","4","0","w","0",\N,"rc",\N,\N,\N,"download","65",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"86"
"mb,ar","2013-06-12 07:50:00","2013-06-12 08:02:00","s803","y",\N,\N,"3","fo","l","4","0","w","0",\N,"rc",\N,\N,\N,"download","31",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","bird at about 15 m 8:07 Al, 1m 8:08 Al,walks in and out of cage several times from several directions, sits 8:09","87"
"fh,ar","2013-06-12 08:20:00","2013-06-12 08:30:00","s505","y","6","108",\N,"wo,a","l","4","0","w","0",\N,"x-gf,gr/m-o,w","0.5",\N,\N,"on","45","on","3060874",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"88"
"ar","2013-06-12 14:09:00","2013-06-12 14:24:00","s608","y",\N,\N,"4","fo","f,e,l","4","0","w","0",\N,"?-y,dg,r/?-gf,gr","4","x-db,o,r/m-gf,gr","20","on","27","on","309046",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"not entirely sure that db,o,r belongs to this nest","89"
"fh","2013-06-12 07:52:00","2013-06-12 07:56:00","e801","y",\N,\N,"7","wo","f","4","0","w","0",\N,"x-w,db,o/x-gf,gr","3",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"90"
"mb,fh","2013-06-12 09:13:00","2013-06-12 09:21:00","e801","y",\N,\N,"20","wo","e,l","4","0","w","0",\N,"x-w,db,o/x-gf,gr","2","noba","2","on","22","on","309067",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"91"
"ar","2013-06-12 14:41:00","2013-06-12 14:54:00","s609","y",\N,\N,"4","ro","f,e,l","4","0","w","0",\N,"rc","12",\N,\N,"on","66","on","309039",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"second rc bird around but i think that is the neighbour","92"
"mb,fh","2013-06-12 09:31:00","2013-06-12 09:39:00","s604","y","5","74",\N,"fo","l","4","0","w","0",\N,"x-o,o,y/x-gf,gr","4","x-r,db,o/x-gf,gr",\N,"download","30",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"93"
"mb,fh","2013-06-12 09:47:00","2013-06-12 09:50:00","s604","y",\N,\N,"7","fo","c","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"94"
"mb,fh","2013-06-12 10:18:00","2013-06-12 10:22:00","b401","n",\N,\N,\N,\N,"c","0","0","p","0",\N,\N,\N,\N,\N,"off","54","off","306872",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"light probe was on the nest, temperature probe outside","95"
"mb,fh","2013-06-12 10:25:00","2013-06-12 11:01:00","d502","y","8","80",\N,"fo","ca,e,l","4","0","w","0","72",\N,\N,\N,\N,"on","46","on","306871",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"96"
"mb,fh","2013-06-12 11:09:00","2013-06-12 11:33:00","d801","y","8","81",\N,"fo","ca","4","0","w","0","73",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"97"
"mb,fh","2013-06-12 11:39:00","2013-06-12 12:07:00","s502","y","5","74",\N,"fo","c","4","0","w","0",\N,"rc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"98"
"mb,fh","2013-06-12 11:40:00","2013-06-12 12:07:00","d601","y","8","82",\N,"fo","ca","4","0","w","0","74",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"99"
